trade_date,nav,actual_exposure,executed_target,traded_notional,fee,turnover,daily_return,drawdown,nav_rebased,drawdown_rebased,index_id,index_name,strategy
2026-08-13,0.9836087907093727,0.3503598376257241,0.35421058306417796,0.004090558633536412,2.045279316768206e-06,0.0041340610708371925,-0.0034951575006710867,-0.5751155981502537,0.6726148776425283,-0.3362205519837427,CSI1000,中证1000,Volatility Targeting
2026-08-14,0.98603496798223,0.3612518932675505,0.36069041897475196,0.009159225925598258,4.5796129627991285e-06,0.009297043955854789,0.002466607960170508,-0.5740675749024988,0.6742739548538503,-0.3345832683134683,CSI1000,中证1000,Volatility Targeting
2026-08-17,0.9966411539578393,0.43837372532997004,0.4330184709308448,0.07005308394848564,3.502654197424282e-05,0.07095496013821745,0.010756399438158981,-0.5694860756044864,0.6815267148430055,-0.32742578015461365,CSI1000,中证1000,Volatility Targeting
2026-08-18,0.9953648207603729,0.4514368698110455,0.4521623609160085,0.01371256044368152,6.856280221840761e-06,0.013758024124941926,-0.0012806346520990441,-0.5700374066542784,0.6806539281156464,-0.3282871020066561,CSI1000,中证1000,Volatility Targeting
2026-08-19,0.9695806966978929,0.48171890874992884,0.490762595046776,0.0434833585374208,2.1741679268710403e-05,0.04406312170718606,-0.025904194647730416,-0.5811752413635489,0.6630221362739964,-0.34568728366366674,CSI1000,中证1000,Volatility Targeting
2026-08-20,0.9741388301242686,0.41047133198602537,0.41086144396900726,0.07180332710781734,3.590166355390867e-05,0.07365616122169154,0.0047011387931910065,-0.5792062880431742,0.6661390953595785,-0.3426112687700198,CSI1000,中证1000,Volatility Targeting
2026-08-21,0.9747759648168798,0.41151578551649237,0.4100383552265608,0.0006421779422157159,3.2108897110785794e-07,0.00066044900284995,0.0006540491692852424,-0.5789310682654285,0.6665747830815268,-0.3421813042164613,CSI1000,中证1000,Volatility Targeting
2026-08-24,0.9686341775477593,0.4276112766427027,0.43161048910001015,0.019195389970871723,9.597694985435862e-06,0.019678165946438102,-0.006300716770621495,-0.5815841043451961,0.6623748841668916,-0.3463260335050131,CSI1000,中证1000,Volatility Targeting
2026-08-25,0.9709078765949541,0.44994435631312324,0.44640793091653463,0.02037173739701298,1.018586869850649e-05,0.021116648770696172,0.00234732482076061,-0.5806019463279248,0.663929693173145,-0.3447916483787744,CSI1000,中证1000,Volatility Targeting
2026-08-26,0.9719179855987203,0.4738005843301612,0.47352081361575665,0.022619371234425367,1.1309685617212683e-05,0.02328478062658658,0.0010403757432773109,-0.5801656147661067,0.6646204295211638,-0.344109985502955,CSI1000,中证1000,Volatility Targeting
2026-08-27,0.9834260494172168,0.48067154241936055,0.4747454646380648,0.0007011921165303026,3.505960582651513e-07,0.000721145185618894,0.011840570901059388,-0.5751945359610422,0.6724899148392017,-0.33634387328300586,CSI1000,中证1000,Volatility Targeting
2026-08-28,0.9816588462461295,0.49423273064184203,0.4951734612063193,0.014223107727416362,7.111553863708181e-06,0.014461693448551733,-0.0017969863337812253,-0.5759579055744357,0.6712814596526299,-0.33753645427304657,CSI1000,中证1000,Volatility Targeting
2026-08-31,0.986111422982546,0.512737093515736,0.5074289541326737,0.01598740232621304,7.99370116310652e-06,0.016388915567622564,0.004535767953849801,-0.5740345490314569,0.6743262365853359,-0.3345316733517445,CSI1000,中证1000,Volatility Targeting
2026-09-01,0.9810202186083932,0.504843903311161,0.507483269480537,0.005265256767538529,2.6326283837692645e-06,0.005338485902466058,-0.005162909845171648,-0.5762337702519653,0.6708447510196119,-0.33796742632704657,CSI1000,中证1000,Volatility Targeting
2018-01-02,1.3157312492786148,0.6520750916113534,0.65,0.0030010159072376696,1.5005079536188349e-06,0.0022944690674337937,0.006921993209261457,-0.3172596554439049,1.0,0.0,CSI1000,中证1000,Risk Score
2018-01-03,1.3239035624131237,0.6522008162977305,0.65,0.00267824305999953,1.339121529999765e-06,0.002035784766981989,0.0062112328326848765,-0.3130189961995995,1.0062112328326849,0.0,CSI1000,中证1000,Risk Score
2018-01-04,1.326503304777298,0.850531808873549,0.85,0.2620515030679552,0.00013102575153397763,0.1981225424946533,0.0019636946662759946,-0.3116699752666038,1.0081871244637455,0.0,CSI1000,中证1000,Risk Score
2018-01-05,1.3268175050199322,0.8500866702884115,0.85,0.000637899558617594,3.1894977930879695e-07,0.00048105133178995665,0.00023686352043195136,-0.3115069349937264,1.0084259272153,0.0,CSI1000,中证1000,Risk Score
2018-01-08,1.328612682380083,0.8502882669965748,0.85,1.277711146885352e-06,6.38855573442676e-10,9.635399145497616e-07,0.0013529949321280377,-0.31057540736596756,1.0097903223842488,0.0,CSI1000,中证1000,Risk Score
2018-01-09,1.326797643870515,0.8499434812348761,0.85,0.00018582128616961846,9.291064308480923e-08,0.00013999965313825867,-0.0013661155983523132,-0.31151724105585266,1.0084108320737746,-0.0013661155983522022,CSI1000,中证1000,Risk Score
2018-01-10,1.3208318928334801,0.8493942367085924,0.85,0.00016965531749835172,8.482765874917587e-08,0.00012792911979004088,-0.0044963533547072165,-0.31461290281868914,1.0038766606460565,-0.0058563264146058724,CSI1000,中证1000,Risk Score
2018-01-11,1.326595077874531,0.8509598803965915,0.85,0.0012084021270444278,6.042010635222139e-07,0.0009167688342853176,0.004363299426914713,-0.3116223536903433,1.0082568751041465,-0.00151857989337989,CSI1000,中证1000,Risk Score
