index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,Buy & Hold,0.11513985655711334,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,Constant Exposure - Train Fixed,0.07702015821085018,0.6570824228803027,0.6578858620000343,0.6509622796588582,0.6561908674383924,0,0
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,MA200,0.02396402134085851,0.19946839202671113,0.2000016055812058,0.19514934693506467,0.19880193429857995,0,43
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,MA20/MA60,0.023964021340859065,0.19946839202671113,0.20000160558120578,0.19514934693506464,1.0004021524381723,1,6
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,Volatility Targeting,0.07418169978122979,0.719206292058359,0.48169203679903744,0.4474234601501116,0.8649011532081688,60,633
CSI300,沪深300,CSI300-sideways_market-014,sideways_market,2022-03-17,2022-03-17,2022-06-16,Risk Score,0.03581641875743791,0.31934868353699253,0.20000160558101446,0.19514934693506467,0.8491246878520465,13,249
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,Buy & Hold,0.10689516483018358,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,Constant Exposure - Train Fixed,0.0714186686213567,0.6598640808353043,0.6626071792987291,0.653165485190701,0.6566863629106102,0,0
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,MA200,0.022164391302537334,0.20142436443605405,0.20339155670496145,0.19667939072495932,0.19915233414902306,0,43
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,MA20/MA60,0.09542971718851645,0.36174440806397246,1.0000001983244726,0.19667939072495935,0.19915233414902303,1,6
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,Volatility Targeting,0.09990722356279624,0.8773516928619639,0.8586944348628115,0.8375208465300984,1.0,44,633
CSI300,沪深300,CSI300-sideways_market-015,sideways_market,2022-06-17,2022-06-17,2022-09-08,Risk Score,0.07001259794499848,0.6921836865602722,0.8526664884107509,0.39724565375742094,0.6488725735763757,9,249
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,Buy & Hold,0.14653230893958324,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,Constant Exposure - Train Fixed,0.09853104446805583,0.6579076953433276,0.6602653283020234,0.6520770446567863,0.6599286130417288,0,0
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,MA200,0.030843158821075467,0.2000209916184709,0.20170290461940607,0.19592174710785645,0.20146136452399296,0,43
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,MA20/MA60,0.030843158821075578,0.20002099161847084,0.20170290461940607,0.19592174710785654,1.0000001978604676,1,6
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,Volatility Targeting,0.13489166610407188,1.0000000000019926,1.0,0.536185795410274,0.7869958847638804,44,633
CSI300,沪深300,CSI300-sideways_market-016,sideways_market,2022-09-09,2022-09-09,2022-12-09,Risk Score,0.0651728496337255,0.45005905979679095,0.652409858006046,0.19638487595872714,0.6521342415631431,14,249
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,Buy & Hold,0.05574638597877568,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,Constant Exposure - Train Fixed,0.03355181901189119,0.6592743664256917,0.6565901713002127,0.5961550397436334,0.6026861026642081,1,0
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,MA200,0.04305825014152831,0.20099428019396864,0.19908440595639745,0.19758234082832063,0.20185490629895778,2,43
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,MA20/MA60,0.05574638597877579,0.5207335709464889,1.0000000001000513,1.0,1.0,0,6
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,Volatility Targeting,0.05509700428733133,0.7684939539025879,0.8805207360249176,0.8346823439681902,0.9645778795216586,28,633
CSI300,沪深300,CSI300-sideways_market-017,sideways_market,2022-12-12,2022-12-12,2023-03-13,Risk Score,0.05231837846055787,0.8109830947948792,0.8493525917434817,0.39680320737647246,0.6526241315711562,10,249
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,Buy & Hold,0.08954525097356314,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,Constant Exposure - Train Fixed,0.05445516796648342,0.5993762544114912,0.5990034588356845,0.5950927140679219,0.6008121575860524,0,0
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,MA200,0.0645410070306256,0.5200621405034719,0.1993922820375009,0.19777445305235886,0.20059800106506798,8,43
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,MA20/MA60,0.025177672593129086,1.0,1.0,0.1968102431766894,0.200598001065068,3,6
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,Volatility Targeting,0.08940415336967855,0.9685089431400733,0.9556803676469325,0.935658227687497,1.0,10,633
CSI300,沪深300,CSI300-sideways_market-018,sideways_market,2023-03-14,2023-03-14,2023-06-09,Risk Score,0.07124965483183632,0.689768577161074,0.6491348994740921,0.4005945359998243,0.6508492747702145,10,249
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,Buy & Hold,0.07329473765908867,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,Constant Exposure - Train Fixed,0.045242304636325725,0.5989993254648931,0.59970222186239,0.5964435866798323,0.6161784569694538,1,0
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,MA200,0.014906090019903062,0.1993928919057521,0.1998574556477369,0.19697173452527808,0.20069572574758268,0,43
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,MA20/MA60,0.01490609001990395,0.1993928919057521,0.1998574556477369,0.1969717345252781,1.0,1,6
CSI300,沪深300,CSI300-sideways_market-019,sideways_market,2023-12-07,2023-12-07,2024-03-08,Volatility Targeting,0.07257951400382001,1.0,1.0,0.6747604065557004,0.8428688922162392,33,633
